지점,지점명,일시,합계 일조시간(hr),일조율(%)
108,서울,2009-12,146.1,48.91
108,서울,2010-01,167.9,54.65
108,서울,2010-02,141.2,46.66
108,서울,2010-03,133,35.87
108,서울,2010-04,166.3,42.09
108,서울,2010-05,178.5,40.59
108,서울,2010-06,203,45.91
108,서울,2010-07,89.8,20.01
108,서울,2010-08,96.5,22.89
108,서울,2010-09,146.4,39.22
108,서울,2010-10,194.6,55.84
108,서울,2010-11,180.3,59.02
108,서울,2010-12,157.8,52.83
108,서울,2011-01,218.5,71.15
108,서울,2011-02,166.6,55.07
108,서울,2011-03,240.2,64.83
108,서울,2011-04,202.1,51.2
108,서울,2011-05,180.4,41.02
108,서울,2011-06,170.8,38.64
108,서울,2011-07,80.4,17.91
108,서울,2011-08,94,22.3
108,서울,2011-09,180.4,48.29
108,서울,2011-10,215.3,63.81
108,서울,2011-11,129.5,42.33
108,서울,2011-12,195.6,65.44
108,서울,2012-01,190.5,62.05
108,서울,2012-02,224.9,71.74
108,서울,2012-03,191.8,51.63
108,서울,2012-04,212.5,53.72
108,서울,2012-05,251.3,57.04
108,서울,2012-06,232,52.48
108,서울,2012-07,144,32.11
108,서울,2012-08,158.7,37.71
108,서울,2012-09,190.8,51.19
108,서울,2012-10,235.4,67.66
108,서울,2012-11,181.1,59.32
108,서울,2012-12,193.6,64.81
108,서울,2013-01,167.7,54.55
108,서울,2013-02,187.2,61.78
108,서울,2013-03,256.3,69.05
108,서울,2013-04,213.2,53.92
108,서울,2013-05,238.1,54.08
108,서울,2013-06,224,50.67
108,서울,2013-07,101,22.51
108,서울,2013-08,217.9,51.73
108,서울,2013-09,191,51.22
108,서울,2013-10,249.9,71.79
108,서울,2013-11,188,61.56
108,서울,2013-12,184.4,61.73
108,서울,2014-01,184.4,60.03
108,서울,2014-02,163.9,54.15
108,서울,2014-03,214.7,57.9
108,서울,2014-04,213.2,53.97
108,서울,2014-05,304,69.12
108,서울,2014-06,184.9,41.81
108,서울,2014-07,172.7,38.48
108,서울,2014-08,150.7,35.75
108,서울,2014-09,214.3,57.42
108,서울,2014-10,239.8,68.83
108,서울,2014-11,194.1,63.54
108,서울,2014-12,195.6,65.48
108,서울,2015-01,193.3,62.94
108,서울,2015-02,180,59.5
108,서울,2015-03,270.8,73.07
108,서울,2015-04,216,54.71
108,서울,2015-05,290.4,66.03
108,서울,2015-06,258.1,58.39
108,서울,2015-07,176.1,39.23
108,서울,2015-08,207,49.1
108,서울,2015-09,262.1,70.17
108,서울,2015-10,239.7,68.72
108,서울,2015-11,109,35.64
108,서울,2015-12,177.8,59.48
108,서울,2016-01,196.1,63.86
108,서울,2016-02,195.2,62.26
108,서울,2016-03,253.7,68.29
108,서울,2016-04,219.5,55.47
108,서울,2016-05,280.1,63.57
108,서울,2016-06,229.7,51.97
108,서울,2016-07,160.4,35.76
108,서울,2016-08,236.1,56.11
108,서울,2016-09,191.6,51.41
108,서울,2016-10,195.7,56.27
108,서울,2016-11,173.3,56.76
108,서울,2016-12,166.4,55.71
108,서울,2017-01,209,67.97
108,서울,2017-02,210,69.31
108,서울,2017-03,255.2,68.73
108,서울,2017-04,259.7,65.66
108,서울,2017-05,301.5,68.48
108,서울,2017-06,285.2,64.51
108,서울,2017-07,123.1,27.44
108,서울,2017-08,166.2,39.47
108,서울,2017-09,233.7,64.75
108,서울,2017-10,222.7,66.14
108,서울,2017-11,163.9,59.45
108,서울,2017-12,176.1,58.96
108,서울,2018-01,186.7,65.01
108,서울,2018-02,194.2,66.53
108,서울,2018-03,209.1,56.38
108,서울,2018-04,223.4,56.54
108,서울,2018-05,231.6,52.66
108,서울,2018-06,236.6,53.51
108,서울,2018-07,228.5,52.64
108,서울,2018-08,232.5,55.19
108,서울,2018-09,218.7,58.6
108,서울,2018-10,241.9,69.43
108,서울,2018-11,177.6,58.13
108,서울,2018-12,199.9,66.92
108,서울,2019-01,215,70.01
108,서울,2019-02,190.5,62.98
108,서울,2019-03,203.8,54.99
108,서울,2019-04,221.6,56.13
108,서울,2019-05,314,71.4
108,서울,2019-06,235.1,53.18
108,서울,2019-07,150.1,33.44
108,서울,2019-08,239.3,58.59
108,서울,2019-09,168.9,45.22
108,서울,2019-10,236.5,67.8
108,서울,2019-11,203.2,66.45
108,서울,2019-12,164.2,54.93
108,서울,2020-01,177.9,57.93
108,서울,2020-02,185,58.99
108,서울,2020-03,262.9,70.77
108,서울,2020-04,283.3,71.59
108,서울,2020-05,177.9,40.38
108,서울,2020-06,206.1,46.62
108,서울,2020-07,119.4,26.62
108,서울,2020-08,74.7,17.76
108,서울,2020-09,174.3,46.77
108,서울,2020-10,227.1,65.3
108,서울,2020-11,171.5,56.17
108,서울,2020-12,203.6,68.16
108,서울,2021-01,176.4,59.25
108,서울,2021-02,181,59.74
108,서울,2021-03,213,57.37
108,서울,2021-04,208.6,52.74
108,서울,2021-05,203.7,46.25
108,서울,2021-06,185.5,41.96
108,서울,2021-07,195.2,43.51
108,서울,2021-08,127.3,30.24
108,서울,2021-09,182,48.82
108,서울,2021-10,168.4,48.38
108,서울,2021-11,163.6,53.57
108,서울,2021-12,185.4,62.07
108,서울,2022-01,206.9,67.35
108,서울,2022-02,203.8,67.33
108,서울,2022-03,173,46.64
108,서울,2022-04,246.4,62.35
